Name,Max temp,Avrg temp,Min temp,Population,Age 0 to 4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85+,BME %,Budget,Percentage in 4 hours or less (type 1),Type 1 Departments - Major A&E
Leeds Teaching Hospitals NHS Trust,12,8,5,855486,49301,52184,50773,54494,74256,63844,63844,59627,54468,51722,53519,50773,42876,35502,36306,25279,18538,18119,126410,2091182000,0.774447789,16907
Leeds Teaching Hospitals NHS Trust,17,13,10,855486,49301,52184,50773,54494,74256,63844,63844,59627,54468,51722,53519,50773,42876,35502,36306,25279,18538,18119,126410,2091182000,0.752345625,18702
East Cheshire NHS Trust,7,4,2,400500,19992,22203,22988,19784,17662,21803,24390,24590,24009,26681,30442,30638,25712,22403,24510,18062,12535,12055,22428,209410000,0.506899724,4295
East Cheshire NHS Trust,10,7,4,400500,19992,22203,22988,19784,17662,21803,24390,24590,24009,26681,30442,30638,25712,22403,24510,18062,12535,12055,22428,209410000,0.491819057,4128
East Cheshire NHS Trust,10,7,4,400500,19992,22203,22988,19784,17662,21803,24390,24590,24009,26681,30442,30638,25712,22403,24510,18062,12535,12055,22428,209410000,0.535408902,4538
East Cheshire NHS Trust,12,8,5,400500,19992,22203,22988,19784,17662,21803,24390,24590,24009,26681,30442,30638,25712,22403,24510,18062,12535,12055,22428,209410000,0.529520295,4294
East Cheshire NHS Trust,16,13,9,400500,19992,22203,22988,19784,17662,21803,24390,24590,24009,26681,30442,30638,25712,22403,24510,18062,12535,12055,22428,209410000,0.505571605,4795
Wye Valley NHS Trust,7,4,2,187600,8423,9530,10136,9117,8216,9623,10524,10336,9830,11237,13638,14651,13638,12546,13038,9717,6716,6522,5815,383983000,0.526483051,5664
Wye Valley NHS Trust,10,7,4,187600,8423,9530,10136,9117,8216,9623,10524,10336,9830,11237,13638,14651,13638,12546,13038,9717,6716,6522,5815,383983000,0.54921466,5730
Wye Valley NHS Trust,10,7,3,187600,8423,9530,10136,9117,8216,9623,10524,10336,9830,11237,13638,14651,13638,12546,13038,9717,6716,6522,5815,383983000,0.588521248,6377
Wye Valley NHS Trust,12,8,4,187600,8423,9530,10136,9117,8216,9623,10524,10336,9830,11237,13638,14651,13638,12546,13038,9717,6716,6522,5815,383983000,0.622359854,6297
Wye Valley NHS Trust,16,12,8,187600,8423,9530,10136,9117,8216,9623,10524,10336,9830,11237,13638,14651,13638,12546,13038,9717,6716,6522,5815,383983000,0.624626866,6700
