Name,Max temp,Avrg temp,Min temp,Population,Age 0 to 4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85+,BME,Budget,Percentage in 4 hours or less (type 1),Type 1 Departments - Major A&E
Barts Health NHS Trust,11,9,7,2638019,156799,157489,158676,145059,174636,232937,239532,217900,197587,175955,170073,151422,119766,90747,79668,56189,41786,40625,1319009,1250000000,0.843177838,6281
Barts Health NHS Trust,8,5,2,2665141,158411,159108,160308,146550,176432,235331,241994,220140,199619,177764,171821,152979,120997,91680,80487,56767,42215,41043,1332570,1250000000,0.819071374,5212
Barts Health NHS Trust,8,5,2,2665141,158411,159108,160308,146550,176432,235331,241994,220140,199619,177764,171821,152979,120997,91680,80487,56767,42215,41043,1332570,1345000000,0.850420469,5589
Barts Health NHS Trust,7,4,1,2665141,158411,159108,160308,146550,176432,235331,241994,220140,199619,177764,171821,152979,120997,91680,80487,56767,42215,41043,1332570,1345000000,0.87809283,5537
Barts Health NHS Trust,10,7,3,2665141,158411,159108,160308,146550,176432,235331,241994,220140,199619,177764,171821,152979,120997,91680,80487,56767,42215,41043,1332570,1345000000,0.828785812,5864
Barts Health NHS Trust,20,15,10,2665141,158411,159108,160308,146550,176432,235331,241994,220140,199619,177764,171821,152979,120997,91680,80487,56767,42215,41043,1332570,1345000000,0.876003078,27291
Barts Health NHS Trust,21,17,13,2665141,158411,159108,160308,146550,176432,235331,241994,220140,199619,177764,171821,152979,120997,91680,80487,56767,42215,41043,1332570,1345000000,0.850741829,26893
Barts Health NHS Trust,21,17,14,2665141,158411,159108,160308,146550,176432,235331,241994,220140,199619,177764,171821,152979,120997,91680,80487,56767,42215,41043,1332570,1345000000,0.878013062,25265
Barts Health NHS Trust,17,14,10,2665141,158411,159108,160308,146550,176432,235331,241994,220140,199619,177764,171821,152979,120997,91680,80487,56767,42215,41043,1332570,1345000000,0.850373293,25851
Barts Health NHS Trust,15,12,9,2665141,158411,159108,160308,146550,176432,235331,241994,220140,199619,177764,171821,152979,120997,91680,80487,56767,42215,41043,1332570,1345000000,0.822064442,27746
Barts Health NHS Trust,13,11,8,2665141,158411,159108,160308,146550,176432,235331,241994,220140,199619,177764,171821,152979,120997,91680,80487,56767,42215,41043,1332570,1345000000,0.819198751,26908
Barts Health NHS Trust,12,11,8,2665141,158411,159108,160308,146550,176432,235331,241994,220140,199619,177764,171821,152979,120997,91680,80487,56767,42215,41043,1332570,1345000000,0.817312642,27194
Barts Health NHS Trust,8,6,4,2692263,160023,160728,161939,148042,178227,237726,244457,222380,201650,179573,173570,154535,122228,92613,81306,57345,42645,41460,1346131,1440000000,0.812144835,27452
Barts Health NHS Trust,8,6,3,2692263,160023,160728,161939,148042,178227,237726,244457,222380,201650,179573,173570,154535,122228,92613,81306,57345,42645,41460,1346131,1440000000,0.802087545,27209
Barts Health NHS Trust,10,6,3,2692263,160023,160728,161939,148042,178227,237726,244457,222380,201650,179573,173570,154535,122228,92613,81306,57345,42645,41460,1346131,1440000000,0.825500668,29960
Barts Health NHS Trust,12,8,4,2692263,160023,160728,161939,148042,178227,237726,244457,222380,201650,179573,173570,154535,122228,92613,81306,57345,42645,41460,1346131,1440000000,0.813877938,27396
Barts Health NHS Trust,17,13,9,2692263,160023,160728,161939,148042,178227,237726,244457,222380,201650,179573,173570,154535,122228,92613,81306,57345,42645,41460,1346131,1440000000,0.817464367,29397
Barts Health NHS Trust,19,15,11,2692263,160023,160728,161939,148042,178227,237726,244457,222380,201650,179573,173570,154535,122228,92613,81306,57345,42645,41460,1346131,1440000000,0.814336409,28180
Barts Health NHS Trust,21,17,13,2692263,160023,160728,161939,148042,178227,237726,244457,222380,201650,179573,173570,154535,122228,92613,81306,57345,42645,41460,1346131,1440000000,0.852736421,29016
Barts Health NHS Trust,23,18,14,2692263,160023,160728,161939,148042,178227,237726,244457,222380,201650,179573,173570,154535,122228,92613,81306,57345,42645,41460,1346131,1440000000,0.85658443,27117
Barts Health NHS Trust,21,17,13,2692263,160023,160728,161939,148042,178227,237726,244457,222380,201650,179573,173570,154535,122228,92613,81306,57345,42645,41460,1346131,1440000000,0.865578542,28857
Barts Health NHS Trust,15,11,8,2692263,160023,160728,161939,148042,178227,237726,244457,222380,201650,179573,173570,154535,122228,92613,81306,57345,42645,41460,1346131,1440000000,0.827963984,29209
Barts Health NHS Trust,9,7,4,2692263,160023,160728,161939,148042,178227,237726,244457,222380,201650,179573,173570,154535,122228,92613,81306,57345,42645,41460,1346131,1440000000,0.816315917,28843
Barts Health NHS Trust,9,7,4,2692263,160023,160728,161939,148042,178227,237726,244457,222380,201650,179573,173570,154535,122228,92613,81306,57345,42645,41460,1346131,1440000000,0.752794526,29522
Barts Health NHS Trust,6,4,1,2719385,161635,162347,163571,149533,180023,240121,246920,224621,203681,181382,175318,156092,123460,93546,82125,57922,43075,41878,1359692,1535000000,0.738705137,28420
Barts Health NHS Trust,9,7,4,2719385,161635,162347,163571,149533,180023,240121,246920,224621,203681,181382,175318,156092,123460,93546,82125,57922,43075,41878,1359692,1535000000,0.761664419,25955
Barts Health NHS Trust,12,9,6,2719385,161635,162347,163571,149533,180023,240121,246920,224621,203681,181382,175318,156092,123460,93546,82125,57922,43075,41878,1359692,1535000000,0.804634227,30210
Barts Health NHS Trust,13,9,5,2719385,161635,162347,163571,149533,180023,240121,246920,224621,203681,181382,175318,156092,123460,93546,82125,57922,43075,41878,1359692,1535000000,0.779945391,27834
Barts Health NHS Trust,17,13,9,2719385,161635,162347,163571,149533,180023,240121,246920,224621,203681,181382,175318,156092,123460,93546,82125,57922,43075,41878,1359692,1535000000,0.794867466,29615
Barts Health NHS Trust,21,17,12,2719385,161635,162347,163571,149533,180023,240121,246920,224621,203681,181382,175318,156092,123460,93546,82125,57922,43075,41878,1359692,1535000000,0.85613797,28006
Barts Health NHS Trust,22,18,14,2719385,161635,162347,163571,149533,180023,240121,246920,224621,203681,181382,175318,156092,123460,93546,82125,57922,43075,41878,1359692,1535000000,0.842103478,29475
Barts Health NHS Trust,22,18,14,2719385,161635,162347,163571,149533,180023,240121,246920,224621,203681,181382,175318,156092,123460,93546,82125,57922,43075,41878,1359692,1535000000,0.844759418,26810
Barts Health NHS Trust,19,15,12,2719385,161635,162347,163571,149533,180023,240121,246920,224621,203681,181382,175318,156092,123460,93546,82125,57922,43075,41878,1359692,1535000000,0.813751336,28070
Barts Health NHS Trust,16,14,11,2719385,161635,162347,163571,149533,180023,240121,246920,224621,203681,181382,175318,156092,123460,93546,82125,57922,43075,41878,1359692,1535000000,0.802296195,27698
Barts Health NHS Trust,11,8,6,2719385,161635,162347,163571,149533,180023,240121,246920,224621,203681,181382,175318,156092,123460,93546,82125,57922,43075,41878,1359692,1535000000,0.818599481,26990
Barts Health NHS Trust,8,6,4,2719385,161635,162347,163571,149533,180023,240121,246920,224621,203681,181382,175318,156092,123460,93546,82125,57922,43075,41878,1359692,1535000000,0.772742519,26833
Barts Health NHS Trust,9,7,4,2746507,163247,163966,165202,151024,181818,242516,249382,226861,205713,183192,177067,157649,124691,94479,82944,58500,43504,42296,1373253,1630000000,0.785968256,27281
Barts Health NHS Trust,6,4,1,2746507,163247,163966,165202,151024,181818,242516,249382,226861,205713,183192,177067,157649,124691,94479,82944,58500,43504,42296,1373253,1630000000,0.763229549,25341
Barts Health NHS Trust,9,6,3,2746507,163247,163966,165202,151024,181818,242516,249382,226861,205713,183192,177067,157649,124691,94479,82944,58500,43504,42296,1373253,1630000000,0.775900228,28465
