Name,Type 1 Departments - Major A&E,Percentage in 4 hours or less (type 1),Month,Year,Max temp,Avrg temp,Min temp,Population,Age 0 to 4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85+,BAME,Budget
East Cheshire NHS Trust,3926,0.576180802,4,2023,12,8,4,396538,19795,21984,22761,19588,17487,21587,24149,24347,23772,26417,30140,30335,25457,22182,24268,17883,12411,11935,22206,204317000
East Cheshire NHS Trust,4200,0.552295315,5,2023,17,12,7,396538,19795,21984,22761,19588,17487,21587,24149,24347,23772,26417,30140,30335,25457,22182,24268,17883,12411,11935,22206,204317000
East Cheshire NHS Trust,4399,0.562288804,6,2023,22,16,11,396538,19795,21984,22761,19588,17487,21587,24149,24347,23772,26417,30140,30335,25457,22182,24268,17883,12411,11935,22206,204317000
East Cheshire NHS Trust,4379,0.644691975,7,2023,19,15,11,396538,19795,21984,22761,19588,17487,21587,24149,24347,23772,26417,30140,30335,25457,22182,24268,17883,12411,11935,22206,204317000
East Cheshire NHS Trust,4218,0.624205321,8,2023,19,15,11,396538,19795,21984,22761,19588,17487,21587,24149,24347,23772,26417,30140,30335,25457,22182,24268,17883,12411,11935,22206,204317000
East Cheshire NHS Trust,4346,0.543334096,9,2023,20,16,12,396538,19795,21984,22761,19588,17487,21587,24149,24347,23772,26417,30140,30335,25457,22182,24268,17883,12411,11935,22206,204317000
East Cheshire NHS Trust,4511,0.535360212,10,2023,14,11,9,396538,19795,21984,22761,19588,17487,21587,24149,24347,23772,26417,30140,30335,25457,22182,24268,17883,12411,11935,22206,204317000
East Cheshire NHS Trust,4217,0.527462121,11,2023,9,7,5,396538,19795,21984,22761,19588,17487,21587,24149,24347,23772,26417,30140,30335,25457,22182,24268,17883,12411,11935,22206,204317000
East Cheshire NHS Trust,4303,0.495841035,12,2023,9,7,5,396538,19795,21984,22761,19588,17487,21587,24149,24347,23772,26417,30140,30335,25457,22182,24268,17883,12411,11935,22206,204317000
East Cheshire NHS Trust,4295,0.506899724,1,2024,7,4,2,400500,19992,22203,22988,19784,17662,21803,24390,24590,24009,26681,30442,30638,25712,22403,24510,18062,12535,12055,22428,209410000
East Cheshire NHS Trust,4128,0.491819057,2,2024,10,7,4,400500,19992,22203,22988,19784,17662,21803,24390,24590,24009,26681,30442,30638,25712,22403,24510,18062,12535,12055,22428,209410000
East Cheshire NHS Trust,4538,0.535408902,3,2024,10,7,4,400500,19992,22203,22988,19784,17662,21803,24390,24590,24009,26681,30442,30638,25712,22403,24510,18062,12535,12055,22428,209410000
East Cheshire NHS Trust,4294,0.529520295,4,2024,12,8,5,400500,19992,22203,22988,19784,17662,21803,24390,24590,24009,26681,30442,30638,25712,22403,24510,18062,12535,12055,22428,209410000
East Cheshire NHS Trust,4795,0.505571605,5,2024,16,13,9,400500,19992,22203,22988,19784,17662,21803,24390,24590,24009,26681,30442,30638,25712,22403,24510,18062,12535,12055,22428,209410000
